name,x,y,plst,dem,at
USC00048380,-119.6331,37.5122,26.11,1538.3,25.6
USC00048560,-121.3178,37.9994,46.65,3.7,30
USC00048587,-122.5342,39.5861,46.47,243.8,35.6
USC00048606,-121.1078,39.5631,29.01,1160.7,27.8
USC00048702,-120.6631,40.4167,43.31,1283.8,29.4
USC00048713,-120.8008,38.3772,44.77,483.4,32.2
USC00048752,-119.43,35.1503,53.89,235.6,35
USC00048758,-120.1428,39.1678,31.05,1898.9,26.1
USC00048829,-118.4222,35.1011,48.23,1286.3,26.7
USC00048832,-118.4325,35.1308,47.39,1207,28.9
USC00048839,-118.7497,35.0233,49.67,434.3,34.4
USC00048904,-118.8986,34.1819,39.81,238.7,25.6
USC00048917,-118.8619,36.465,41.03,347.5,32.8
USC00048999,-121.3467,37.6819,42.03,41.1,32.8
USC00049001,-121.5828,37.7967,44.55,18.6,30.6
USC00049026,-122.7947,40.7264,33.71,567.2,35
USC00049035,-117.3908,35.7636,54.43,516.6,37.2
USC00049040,-120.145,39.3181,43.59,1798.3,26.1
USC00049053,-121.4744,41.96,36.25,1229.9,28.9
USC00049073,-120.855,37.5006,49.39,35.1,32.8
USC00049099,-116.0369,34.1281,53.89,602,37.8
USC00049102,-115.85,34.1206,54.45,419.4,40
USC00049122,-123.2103,39.1467,42.77,193.9,32.2
USC00049152,-118.4428,34.0697,36.93,131.1,21.7
USC00049325,-117.3058,34.535,48.45,871.1,30.6
USC00049351,-120.1858,39.8056,44.61,1508.8,29.4
USC00049367,-119.2994,36.3278,48.67,106.7,33.9
USC00049378,-117.2322,33.2353,41.05,131.1,23.3
USC00049473,-121.7692,36.9308,35.99,29,17.2
USC00049490,-122.9403,40.7367,45.43,627.3,35
USC00049621,-122.5281,40.6117,31.47,394.7,37.8
USC00049684,-123.3425,39.4194,37.45,412.4,28.3
USC00049699,-122.3058,39.5231,42.41,71,33.9
USC00049742,-121.9778,38.5253,47.37,41.1,33.3
USC00049781,-121.7939,38.6828,47.17,20.4,32.8
USC00049785,-118.5744,34.1819,45.63,240.8,31.1
USC00049792,-122.2561,37.4286,33.13,115.8,29.4
USC00049822,-117.6386,34.3617,38.45,1828.8,25.6
USC00049847,-117.8189,33.89,44.61,106.7,25.6
USC00049855,-119.5897,37.75,32.87,1224.7,29.4
USC00049866,-122.6408,41.7036,45.03,800.1,31.7
USC00050109,-103.1417,40.155,48.75,1383.8,35.6
USC00050128,-105.8569,37.4703,38.91,2298.2,28.9
USC00050214,-108.3808,39.4992,34.98,1718.2,28.9
USC00050263,-105.8919,38.9933,28.62,2718.8,22.8
USC00050306,-102.1614,38.6842,37.59,1248.5,32.8
USC00050372,-106.8381,39.1853,30.77,2491.7,24.4
USC00050454,-105.4767,39.4047,32.1,2356.1,25.6
USC00050756,-104.8017,39.0292,39.96,2120.5,32.2
USC00050797,-107.1678,38.4667,33.47,2306.7,25
USC00050834,-102.1192,39.6567,40.19,1132.9,33.9
USC00050848,-105.2667,39.9919,40.77,1671.5,33.9
USC00050945,-104.3267,40.635,52.57,1473.4,35
USC00050950,-104.8361,39.9436,42.85,1528.9,34.4
USC00051060,-105.2969,40.6158,28.87,2255.5,27.2
USC00051071,-106.1275,38.8247,36.01,2421.9,27.8
USC00051121,-102.2608,39.3061,37.25,1268.6,33.3
USC00051179,-104.1275,39.7403,41.49,1554.5,32.2
USC00051186,-105.7089,39.6553,13.05,3054.1,18.3
USC00051268,-102.555,37.0158,39.27,1255.2,32.8
USC00051294,-105.2256,38.46,44.33,1639.2,32.8
USC00051401,-104.9058,39.4106,41.47,1885.2,31.1
USC00051528,-105.2783,39.2203,33.46,2097,27.8
USC00051539,-103.51,38.115,34.31,1264,32.8
USC00051564,-102.3508,38.8219,41.31,1313.7,33.3
USC00051620,-102.6267,40.415,41.55,1222.9,35.6
USC00051660,-106.1897,39.3672,26.07,3457.7,16.1
USC00051681,-105.3847,39.8958,24.23,2728,25
USC00051713,-106.7611,38.4461,29.38,2439,23.9
USC00051772,-108.7339,39.1014,33.08,1762,28.9
USC00051886,-108.595,37.3444,36.01,1879.7,27.2
USC00051932,-107.5894,40.4506,49.46,1980,27.2
USC00051948,-106.9319,37.8256,39.69,2628.6,24.4
USC00051959,-106.9772,38.8739,28.49,2702.7,20
USC00051964,-105.6897,37.9806,39.28,2439.6,27.8
USC00051977,-105.2003,38.7956,34.14,2814.8,22.2
USC00051996,-102.8031,40.86,41.57,1130.5,37.8
USC00052184,-106.3083,37.6908,33.44,2391.2,24.4
USC00052196,-108.0278,38.7539,29.33,1532.2,31.7
USC00052223,-105.0083,39.7294,46.29,1593.5,32.2
USC00052281,-106.0353,39.6261,32.51,2763,22.2
USC00052441,-107.8564,37.2911,32.87,2060.8,26.1
USC00052446,-102.7769,38.4758,47.35,1283.8,33.3
USC00052631,-104.6292,39.3811,36.17,2028.1,29.4
USC00052668,-104.3994,38.7403,43.53,1749.2,32.2
USC00052761,-105.5108,40.3689,34.5,2372.9,26.7
USC00052790,-105.315,39.6381,24.99,2129,28.3
USC00052932,-103.0614,39.2814,37.37,1499.6,30.6
USC00052947,-102.8594,40.6483,47.29,1297.2,35
USC00052965,-105.285,38.9128,33.37,2560.9,25.6
USC00053005,-105.0858,40.5764,41.07,1525.2,32.8
USC00053006,-105.0236,40.5756,44.6,1499.6,33.3
USC00053016,-108.0514,37.2308,29.53,2320.7,26.1
USC00053038,-103.8156,40.26,40.99,1328.6,33.3
USC00053116,-105.8172,39.9425,32.51,2609.1,24.4
USC00053146,-108.7331,39.1653,40.28,1373.1,32.2
